北中心测试环境有几套，都是什么环境？	八套环境
问题再次答复补充图片功能缺陷	标签打错了，管理员看不到的@石忠德
待回答问题是如何筛选出来的？如果不是我的问题，如何转给别人？或者退回？	您好 待回答问题是根据您所在的产品线所包含的标签推送的 在下一个版本中 将会有转处理功能 敬请期待
FOVA系统支持的全球现金管理协议有哪些？	目前海外现金管理业务基本上复制了所有的境内现金管理业务。系统上通过obms系统签订协议，主要包括跨境资金池，集中付款，账户信息查询和账户信息管理，以及其他一些辅助类协议，比如定向收支，账户额度控制协议
建议提出问题时，增加向相关产品线全部成员推送的功能，由线内人员认领并回答	您好，目前就是这么设计的消息推送机制。
每个标签是否都对应了一组专家？二级标签换成专家名字（擅长领域）是不是好些？	孔总，目前是这样的，每个标签对应一组专家，近期针对标签体系会进行重构，用户关注和提问只选择10几个标签，后面由各标签管理员进行精准分类和问题流转，过程对用户透明，新的标签体系设置方案三部已经牵头提出并
测试环境目前有多少应用上了paas	10月版投产后，云上应用29个。11月版计划上云应用7个。
在别人的问题里面回答了为什么不能再编辑或删除呢？	回答如果点提交后看没反应，然后再点，最后竟然会显示两次相同的回答
ios-我的，里面头像后我的所属单位因名称太长显示不全，可否优化	正在优化..... 打断把前半段裁剪掉
工行信用卡在第三方支付渠道以及apple pay上消费	ApplePay 本质上还是持卡消费，累不累积分关键看商户类型，回佣率低的商户现在基本不累了
分期付款3期能成功，6期为何报该卡不支持此分期类型？	当前日期加6个月超出了卡片有效期
是否可以按照专业设置标签，比如运行专业，个金专业，公司专业等。	标签正在改造中，感谢您的建议。
北数i服务项目组为什么版本迭代这么快？	太敏捷。
单位客户户名变更完毕，网银展期收费打印出凭证显示还是原户名，什么原因求助	以前企业网银还要在内管再变更户名
问题描述字数限制是否可以增加。有时候描述不清但字数受限	您好，我们设置问题标题是40个字，若需要文字或者图片进行对标题的描述时，可以再提问时，输入完标题，点击页面的添加描述，就可以提供详细的问题描述，感谢您的反馈~
请问如何提取e缴费客户的手机号码	重复问题，忽略。
客户跑到柜面说自己收到了莫名其妙的余额变动提醒，卡一直在身边，怎么处理？	挂失，报案
如何对自己提交以及回答的内容进行编辑，如修改删除？	修改完标签体系以后加上删除或修改问题的功能。
新版本已经发布，实现了自动推送。	试一下推送
赞，评论，回答数不自动更新，需要手动下拉刷新	收。记到我们的todo list里逐步迭代！
我行目前支持受理的外卡种类有哪些？	这个题主比较专业，我猜有Visa，MasterCard，大来，发现，jcb，运通等等。。。
咱们工银e支付什么时间能支持微信支付和支付宝？	按照版本计划，12月版本支持微信，支付宝目前总行正在与蚂蚁金服沟通中。
工行的U盾有哪些种类？分别哪些场景下使用？	U盾、密码器、口令卡、短信支付、密码支付、指纹支付，主要根据不同客户端支持的介质种类和支付额度进行区分使用。
融e联客户版安卓手机给客户推荐理财的界面怎么没有了，苹果手机的有	您好，客户经理可以通过单聊或群聊中“+ 理财”，或者发现页签中“客户经理-理财产品”，给客户推送理财产品。
目前自动取款机支持存折取款吗？	鐩涜€佸笀锛屾偍濂斤紒鐩墠鎴戣鐨勷煆э紝鍙湁鏃ョ珛銆佸尽閾躲€佹亽閾躲€丱KI鍥涗釜鍝佺墝鐨勫ぇ鍫傛満閫氳繃鍗囩骇纭欢鏀寔瀛樻姌鍙栨銆傛牴鎹€昏瀹夋帓锛岀幇鍦ㄤ粛鍦ㄨ瘯鐐归樁娈点€?
融e联客户经理版没有大额异动提醒及生日提醒，怎么回事？安卓系统，同事的也没有	17年1月融e联客户经理版已和客户端整合，至于您提的未提醒生日问题，稍后由其他同事答复
测试-消息是否能自动推送	可以推送
建议关注和回答从右上角菜单直接挪到卡片中	强总 最早这么设计是为了能在页面上展示更多的信息 每一块都有关注和回答页面重复元素太多 用户习惯之后多一步操作也还算可以接受&nbsp;
苹果手机通知消息服务机制是怎样的?	app建立与apns服务器的连接，获得tokenID；provider建立与apns的连接，需要携带tokenID。连接基于ssl，需要推送证书支持。
	刚哥输入的空格？
目前搜索功能很精准，建议增加模糊查询	目前搜索使用的开源的搜索引擎，经二次开发构建的，属于全文检索，会有小概率的匹配不准确的问题。精准搜索在web端开放，也可以逐步加在app端。
标签能否按拼音或者其它顺序做一个排列，方便快速选取	标签方案调整以后就不用了。
打开问题是时，有时候会出现超时	wifi和移动网络都用了。另外，昨天提问题总是提示服务器有问题，发布不了。
手机银行余额理财功能为什么一大早就没法买 没有余额可买	早晨的不好抢，十点多试试
境内卡在境外的使用范围有哪些	境内卡根据发卡品牌的不同，可以在境外相应收单组织进行消费，取款，预授权，预授权确认等收单业务。支持的品牌主要有银联、Visa、Master、J c b、大来、运通等。
我的借记卡找不到了 能否在异地销卡？因为每个人的卡片数有限制	异地销卡一直支持，但需查询1970卡下是否有必须联机注销的协议以及1996只有基本户
工银i服务能够实现一些日常办公需求吗？比如请假审批、会议室申请之类的功能。	办公服务类的需求会集成在工银e办公实现。后续也会考虑实现一些园区内部服务的功能。
工银i服务可以放中心的食谱安排计划吗？	馃憤濂芥兂娉?
关于提高大家共享知识的意愿和驱动力的小建议。	1.根据每个用户贡献答案及被标记为最佳答案的数目，有个贡献值的指标，并根据贡献值大小对用户分级(比如几星用户，工行业务知识大咖，工行技术大牛啥的)。中心各部门定期公布贡献值排名，是个激励也是鼓励。2.
请教如何显示一个标签的所有问题？比如版本投产业务验证标签，谢谢。	点击标签就能进入标签主页，有问题列表
请问用二类卡代发工资是否可以不限制额度？	本次10月版本已做优化改造，本周末投产
请问线上开立二类卡有没有具体流程？谢谢	请使用个金标签重新添加问题，谢谢
建议在我的关注中增加搜索功能	感谢反馈！
如何区一类卡和二类卡	可以通过4209进行查询 如果是电子二类卡的话 查询介质信息的时候也可以查询到对应的产品群组
建议添加提问者和解答者的互动交流功能	后续会将回答的评论信息及评论功能放在问题列表上，起到交流互动的作用
企业网银	制度上，只允许基本户作为代发工资的付款账户。如果企业基本户开在他行，可以使用我行企网的他行基本户代发工资功能，实现代发。
热门用户，加关注后，再点更多，就没有该用户了，请问程序是这样设置的吗？	明白了，謝謝！
热门用户加关注后，上下划动后，再划回来，又变为未关注了。	苹果iOS
首页搜索关键字匹配的建议	您好，您是说搜索出来的某些问题项不包含搜索关键字，但是点进去问题详情有关键字的显示么？
问题描述中建议增加显示字数功能	鎮ㄥソ锛岄棶棰樻弿杩板簲璇ヤ笉闄愬埗瀛楁暟鐨勶紝鎴戜滑浼氭斁寮€锛屾槑澶╂偍鍐嶈瘯涓€涓嬶紝璋㈣阿鎮ㄧ殑寤鸿馃槃
新增粉丝展现问题	找到一个类似问题的答复，请参考：这个问题我们之前已经修复，原因是重复操作对用户关注，取消关注导致多次向数据库中插数据，现在操作已经不会有这个问题，您这里是之前的无效数据，后续我们会设法删除这些无效数据
我行智能机能否添加识别一、二类账户功能	十月版投产后，可通过智能终端的“我的账户”功能，查询客户名下借记卡账户等级，同时还支持降级和绑卡操作。
分行提出问题后如何反馈	再答复一个吧。
境外POS收单业务，截至目前已经支持多少个地区？	目前已有14个地区受理我行POS了！
我行自助终端支持异地卡签订工银信使吗？	小郭老师，您好！目前由于主机接口控制，我行自助终端及智能终端暂不支持异地卡签订工银信使，相关功能将在明年的项目中进行优化。在此之前，如果您想为手里的异地卡签订工银信使，可通过我行的网银、手机银行等渠道
问题很多，能否把重要的，大家关心的问题，放在最前面，其他的按时间顺序排列？	主要问题是对每个用户，什么是重要的，什么是用户关心的，很难判断。感谢您的建议，试运行一段时间后，会对首页进行改版，应该会提供按分类引导的页面。
建议首页不按时间顺序显示问题，而是展示分类热点问题	试运行一段时间后会改版首页，会有按分类引导的页面。
U盾坏了，可以维修吗？	网点只提供更换服务
苹果手机提问题，点击“更多标签”时，会闪退	帮提供下iOS版本号和app版本号。app版本号在我的-设置-关于里能看到
试着提出一个带图片的问题	华为mate7，在这个帖子滑到底部继续滑会有回滑的bug
发布问题时，在选择更多标签时，显示服务器超时提示	您好，能提供一下您的机型么，谢谢
稳定性不够好.有崩溃的情况	刚出生的娃，容易哭闹
能否首页直接显示自己关注的人和标签？	首页推送的是问题和回答信息。基于你关注的标签和关注的人。
测试新标签系统	改进哪里了？介绍可以有
标签啥时候可以修改	张总您好，现在最新版本在做最后的调试，新版本今晚放出后，您更新app就可以使用新的标签体系了，感谢您的反馈！
现在只能输入标题无法输入详细描述，又发新版本了吗？	换新版本后可以了
回答问题后返回时的问题	不会删问题。回答问后返回上一页面的时候，会先到回答编辑页，可以修改不能提交，然后需要再返回一次才行，感觉有点多余了
热门用户页面里关注的bug，批量关注很多人，关注按钮从灰色过一会儿又变成蓝色的了	谢谢反馈
发现里，热门标签竖着放比较占页面空间。建议参考上面的热门用户，横过来放。	馃憤
北数i服务App版本更新v0.11.1！！！	启用了新的标签体系！
周末投产标签应该设置为“版本投产业务验证”，请尽快修改一下，谢谢	已经修改~
在融e行上，U盾被锁之后，再联U盾会有什么提示?	您好，U盾密码连续错误6次将会锁住，此时在交易中如需U盾认证将提示客户“您的U盾密码已输入超过六次，现已冻结，请到银行重置后使用。”（提示语各厂商略有不同，如上为天地融话术，请参考）
信用卡账单还款优先级问题	咨询一下，信用卡如果有外币消费和人民币消费，外币在先，还款时是先自动购汇还款还是优先偿还人民币欠款。
能不能提示用户输入问题描述？	因为输入描述不是每个问题所必需的，作为补充入口存在。一方面简化提问步骤，另一方面也兼顾复杂问题~
新增问题输入描述里保留了前一次信息，需清除	收到，下个版本就解决！
投产验证问题1.9.10测试	收到
无法收到通知的解决方案！	问题得解！
信用卡已过期，而且没有启用，怎么换卡？	您好，未启用卡已过期也可以去柜面申请换卡的，需要授权。
这个APP究竟是有什么作用？	您好，类似行内95588，解答分行和一线网点在工作中遇到的操作等问题。app目前提供搜索和提问两大功能，已预置1000余个问题并且随着运营不段完善。如果搜索后现有答案不能满足您的需要，您可以选择提问，
附件为DSM加密文档问题	dsm有接口，可以支持的。
提问入口	您好，对此会通过用户调研决策，感谢您的建议！
test，1.9.10版本问题	test
1.9.10投产验证问题是专家在线实时解答吗？	是的，在线实时答复
有关投产验证问题的提出	已提交问题会进入数据库，后续大家在输入问题的时候，如果提交问题中有关键字和已提交问题匹配或者与已有知识匹配，会直接在输入框下面显示出来，所以请大家提问的时候可以先看看出来的提示信息是否已有提出或者有类
版本投产业务验证	收到
请问企业网银批量转账的每一比笔交易回单能否和单笔转账的回单一样带有二维码	只要产生了回单，就会有相应的二维码。
有关本周末投产验证问题有具体格式要求吗？	联系方式也不用留，现在方便了，个人信息里面维护一下联系方式就行
10月版本投产后，境外地区CTB是否需要升级？升级是否是强制的？	17年10月版本前，境外使用ctb的地区，每次投产后，如果不升级ctb，只会提示版本不一致，可以继续登陆使用。10月版本后，境外使用ctb的地区，将会被要求强制升级ctb版本为投产最新版本。如不升级，
U盾坏了，怎么换？要手续费么？	本人持身份证银行卡在自助终端和柜面都可以换，不收费
年终决算涉及的重点检查业务参数表有哪些？	年终参数检查，是指针对可能影响年终决算处理结果的参数进行检查，检查表主要包括内部、表外总分行统设表、核算解析参数、科目表、财务户内部户分户状态、损益结转参数表、机构相关参数（如机构关系表、增值税、所得
DB2数据库升级流程是什么？	数据库升级系统底层改进技术细节比较多，风险也相对高。简单的说核心银行主机数据库DB2升级主要分为CM兼容阶段与NFM新功能启用阶段流程，整个升级流程上跨度周期比较长，涉及全面应用业务的适应性测试阶段验
我行主机核心系统涉及多少个A类应用，平台涉及多少个？	请直接咨询生产中心
我行有没有比U盾更便捷安全性的产品？	注册工银e支付协议，开通短信支付、密码支付、指纹支付。
因私涉外收入都可以自动入账吗？	更正：报文类型描述有误：境内居民接收工行海外分行发出的系统内跨境汇款（工银速汇点对点）U103报文，MT103不适用。
我行智能网点使用的自助设备除了密码检验还有别的方式吗？	刷脸刷身份证呀
测试环境模拟境外汇款收报，为什么模拟器处理成功但查不到业务数据？	在测试环境中 会有AB站点切换的情况 当模拟器与主机配置站点和当前站点不一致时 就会出现这种情况～
双十一节到来，支付交易高峰对我行微信备付金热点问题是如何解决的，技术点都有哪些？	你就是这方面专家，请自问自答。
异地卡如何开卡内定期存单或者节节高2号？	异地卡下不支持开户
融e购商户在发布产品信息时，批量上传图片功能里添加图片按钮不可见，无法批量	请提供截图及浏览器版本
他行基本户代发工资，剩余的资金一直是退回中是什么情况？	请分行邮件提供下具体的客户数据 我们找开发中心分析。
个人在外地办理的卡，能否挂在个人网银下，像本地办理的卡一样使用？	支持异地卡添加网银，添加后可以像本地卡一样使用，网银会自动切换交易地区。
优化的问题	已向总行反映过该情况，近期暂无优化的计划。
ATM机具的取款问题	如果是取款等交易，点击确认就是确认交易，不会退卡。点击退卡才会退卡。
版本更新计划	信用卡冻结后只能在柜面存款，要不支持智能终端存款，我们可以将分行需要发牡丹卡中心了解，由业务部门确认是否需要优化支持。
PBMS系统更新	您好，营销系统外发短信模板为业务部门根据营销活动灵活维护的，无需系统更新，分行可自行维护，请您了解，谢谢。
PBMS系统建议	您好，目前营销系统已经有了理财产品到期提醒，生日提醒，自定义短信等功能。暂不支持短信预约发送，谢谢
融e借办理需要达到什么条件？	代发工资客户或者政府事业单位员工，或者让网点人员直接向所在分行银行卡部申请加入融e借白名单
境外pos能不能支持wifi呀	必须能！
境外pos有多少种品牌型号？	惠尔丰，联迪等
IOS在缓冲图片时候，多次点返回，需要过几秒才返回，且重复显示返回页面	有截图能看一下吗？当时网络情况是不是不太好
建议优化app中显示的先后顺序	谢谢您的建议。我们找弱网环境测试一下，优化下加在顺序。
业务求助：	确认对方未入账的前提下，通过6052对客户资金进行解保留操作后，重新发起汇款业务。
IOS在输入提问的时候，键盘上点击的最后一个字母一直显示	是不是手机有卡顿啊？没重现出来！
建议新增与工小智的联动	馃憣锛屾垜浠悗缁簡瑙ｄ竴涓嬪伐灏忔櫤鐨勬儏鍐点€傚簲璇ユ槸涓€濂楁櫤鑳介棶绛旂郴缁熷拰鐭ヨ瘑搴?
点击进入标签详情后，建议添加搜索按钮以便更加快速找到具体问题	目前只能在首页搜索，后续逐步完善,在细分的页面增加搜索功能
问题答案展现方式	收。一个折叠的图标是很好的选择。
建议增加分享至融e联中“发现”的功能	分享功能正在研究中....
建议优化问题回答评论的显示	收！将答复、评论信息都展现在一个页面，是很好的选择。
外籍和港澳台客户怎么在网点取号？比如开户	如客户在我行开立过银行卡，可持本人银行卡正常刷卡取号。如客户未在我行办理过业务，可点击无卡无折户按钮，取出无卡无折号码。客户也可在我行电子渠道进行预约，预约后可凭手机号取号。
建议优化标签的关注方法	感谢您的建议。根据试用试用情况，可能会调整一下展现方式，会把标签关注的入口放在前面。
新增个建议，回答的缩略卡片上，能把回答者的名字加前面，参考知乎	&#25105;&#35273;&#24471;&#24324;&#25104;&#30693;&#20046;&#12290;&#36824;&#19981;&#22914;&#24324;&#25
可以把版本投产生变问题加入展示吗	生产问题？
每一个新提的问题都自动入搜索库吗？进搜索库的规则是什么？	目前支持问题提出人更改最佳答案
溢存款是什么意思？客户提现是否收费？	通常指超出信用卡欠款之外的多存的钱；溢存款取现有些银行会收取手续费，咱们行暂时还不收
我行系统通过什么判定条件来决定信申请客户的信用卡额度？	我行信用卡都是通过审核流程发卡，审核流程设置了对应的客户分组参数和推荐额度参数，可以根据不同的客户信息匹配不同的客户分组、生成不同的推荐额度。<br />如果是我行客户，主要取是否我行我行代发工资，代
山东投产测试	谢谢
APP提问功能建议	感谢您的建议，此处的易用性排期比较靠后哈。现在ios和安卓系统支持长按全选，再按键盘删除键就可以了～
融e购，工银e生活怎么没指纹登陆啊	融e购10月版本将支持指纹登录，e生活目前已支持登录，还请您了解。
关于app的几点建议	对于别人的问题，现在是提出人设置最佳答案后才认为被解决了，首页/待回答问题中的问题前面会标有“已解决”。对于自己的问题，在“我的-我的提问”里面是分好已解决和未解决的。（鉴于主动设置最佳答案的习惯未养
增加智能机功能	您好！一般情况下补办身份证是不会更换身份证号码的，只有一代换二代时会有升位。我行智能终端不具备识别新旧身份证功能，都需要通过联网核查来判断，但是目前公安部的证件失效库尚未上线，因此对于已挂失的身份证会
我行财智账户卡是否支持缴电费的下列渠道收单？	财智账户卡支持柜面、pos、企网等渠道，也支持做为缴费账户
我行的对公汇款手续费能不能减免？或者有没有套餐？	系统支持手续费减免，但请确认该产品是否有业务控制要求。结算套餐产品，支持灵活配置
我行是银团贷款牵发行，他行贷款已结清，但我行前台系统未做处理导致逾期，该如何处理	转自 主机开发人员方林鹏：<br />通过信贷发冲销许可证，柜面做2257选择冲销本金和表外欠息，贷款可以结清
个人网银批量支付增加批量模版下载，增加个人批量支付在线编辑人数增至200人以内.	您好，个人网银批量汇款上传文件方式需使用门户网站下载的客户端编辑工具生成，下载路径可参考网银页面提示。在线编辑方式目前单批次最多50笔，如有需求可提交优化建议至业务部门评估，谢谢。
咱行的app有没有整合方案？客户来一趟需要下四五个app(๑°⌓°๑)	行里已经有了移动客户端的总体规划，其中一个目标是减少app的数量，尤其是对客的。可能逐步会有整合的行动。
怎样取消借记卡的闪付功能？	无法取消 有芯片就自然开通 没有其他开关&nbsp;
App测试使	试一下怎么提问.
同一个问题因为选择了三个标签所以在待答复列表里显示三条，是这样设计的吗	需要合并一下，冗余了
1.9.10版本投产工银e生活验证问题	好的，谢谢
手机银行跳转融e购后登陆时一直报正在载入，最后会报您的网络不给力	刚才服务还没启，请稍后再试一下
融e购登陆后报错	请再试一下，可以登陆了
为啥没有关注的用户提了个问题，都会收到推送提示，是因为关注了所有标签吗	您是 版本投产业务验证 标签的专家
1.9.10版本手机银行投产验证问题	使用报错页面左上方的返回键可以返回，安卓的返回键就会白屏，客户端死掉了
今天融e联登录报错～截图如下	目前我自己及周围同事，包括各家分行验证均正常，看看去appstore更新一下客户端试试
1.9.10融e联查找聊天记录问题	您好，我这里没有复现。请问您用的手机型号是什么？
e生活2.0.5版本，点击“我的—票券”报错	投产日客户回馈服务器问题，重启后问题已解决。
融e联无法打开e生活，白屏	嗯嗯
e生活团购券和电子券报错。	客户回馈服务器启动后问题已解决
融e联中无法打开神州专车	目前该问题已解决
融e购点抢购窗口进入，进入团购和限时抢购会场，再点击左上角返回键，无法返回上一界	最新客户端是不是1.2.4.2
手机银行3.0.1.0，转账汇款-更多功能-绑定手机号收款，无需验证码即可绑定	此种情况并未完成绑定，是待确认状态，需要回复短信或者在绑定流程中回填短信验证码。
手机银行安装新版本后把用户头像覆盖了，不应该替换成默认大象头像	您好，自定义头像自设置次日开始不会受客户端升级影响，我这边验证正常，若您是今日设置的，请明日重试，谢谢。
投标验证个人综合积分问题	刚环境有点问题，请再试试看
手机银行登陆“投资理财，”提示你的网络不给力，失败，但其他项目如转帐江款等可以。	目前正在分析原因
今日重新下载个人手机银行，需要进行首次认证，短信验证码发了两次都没收到？	已收到 关闭问题
i服务5分钟提不上一个图片～7分钟了～也无法取消	您好，看起来您的网络环境较差，您可以更换网络，或者重启网络设备，感谢您的反馈
1.9.10投产验证问题手机银行	您好，已恢复，请更新客户端后重试，谢谢。
手机银行报错～～专属权益～～积分	生产环境问题，已解决
网上银行～明细查询	您好，定一本后面的明细按钮是跳转到定期存款页面，不是活期账户明细，请协助提供截图，谢谢。
注册账户中无定期一本通	您好，已确认您描述的场景，定一本需至定期交易中查询明细，拟在后续删除该按钮避免误导客户，谢谢。
ATM扫码取现报错。	您好，目前已恢复，请更新客户端后重试。
电子银行业务，我要办卡没有预约上门功能呀？	新版客户端仅信用卡要客客户有此功能。
苹果手机银行，查询办卡进度，报通讯异常	BAM还未升级完成,请下午验证
在智能终端无法办理信用卡	BAM还没升级完成，请下午再试
融e联朋友圈拍小视频使用前置摄像头出现四个重复图像且非常模糊，基本无法使用～	您好，这个问题已经遗留后续版本解决，还请了解，谢谢！
今天办理信用卡有这个问题，怎办？	是智能机申卡的问题吗，信用卡审批系统在升级，请下午再试
网点网银无法登陆使用	您好，截图报错是电脑问题，建议联系自助机管理员检查设备，谢谢。
在智能机上办卡出现的代码	无法办理信用卡
网点wifi经常连不上，而且下载慢，有什么办法解决？客户需要下载的工行app较多	请与分行科技部联系解决
电子银行业务，融e联自助注册下方无协议勾选项～	您好，融e联自助注册页面下方可以查看用户协议，无需勾选，还请了解，谢谢！
为啥不管接收到多少条推送，APP右上角数量提示都是1	主要是技术上，实现通知个数和角标的同步要coding很多代码。没来及......
苹果6手机iOS11，e生活-用卡，点击账户安全锁，屏幕闪退。	9月版客户端存在此问题 升级10月版客户端可解决，目前可通过行内应用市场下载
工银e缴费，选综合通讯费时，无法选择本地通讯费缴费项目	是从融e联和手机银行进入发现的。
建议设立圈子，可以把目前的各种群吸引到我们的i服务	验证！
智能网点注册挂失异常	今天上午NOVA+1.9.10版本投产，智能银行部分业务（挂失、网银等）出现无法办理的情况，分行网点人员已引导客户至柜台办理业务。
手机银行e缴费选择充值10元，实际到账9.98	请忽略这个问题
手机银行消息提醒的设置问题	请问您手机型号？
余额宝转出到卡内，提示工行版本升级无法实时到账，状态“申请已提交，等到银行处理”	我们尝试做了同样的操作，是可以处理成功的。请您重新尝试。
ofo仍需短信验证码登录？	由于ofo商户未完成程序上线，本期10月版投产仍按照短信验证码登录方式投产，后续商户程序就绪后，再进行联合登陆投产
柜面办理存款和取款系统提示如下画面	您好 我中心环境无问题 也没有收到类似问题反馈 请问是已经解决了是吗？
手机银行 最爱 投资理财 提示您的网络不给力，请稍候再试	卸载重装后已经恢复正常
苹果手机，转账汇款选指纹认证出现错误	后续会考虑优化该流程，谢谢
1今天手机银行查询理财时老是显示“您的网络不给力，请重新再试”查看账户余额可以	请问是否是安卓手机，请重新更新一下客户端试一下
办理社保卡销户，已拍摄身份证，联网核查结果已打印，上传业务授权时，漏身份证影像。	山东省淄博临淄遄台支行  电话 0533-7310255<br /><br />具体经办人员 薛洁  <br /><br />        社保卡(借记卡)销户，上传授权时，漏身份证影像问题。
工银商户之家能不能客户登陆以后直接显示商户的收单二维码	Pc版商户之家-收款管理-收款二维码图片管理，商户可直接下载打印商户二维码。
提问的时候，“输入描述”点击后不弹出键盘。	您好，请问您使用的是第三方输入法吗
查看自己的问题是，看不到详细描述。	哦(´･･`)哦。在我的提问里能看到描述，但是从别人回复我的答案界面没法查看到详细描述内容。
手机银行点击投资理财出现问题	手动更新到最新客户端可解决
手机银行问题	问题已解决
智能机查询不到已被冻结的定期类账户	目前自助终端及智能终端只展现账户状态为正常的节节高2号及普通定期账户，您反映的这个问题，后期我们会统一提交给总行业务部门，请总行评估是否需要优化。
手机银行	目前该功能安卓客户端存在问题，正在分析处理中
原来e缴费二维码扫描不识别怎么办？	您好，请您重新生成二维码，在进行扫码缴费，谢谢
为什么手机银行中“我的账户”无法打开？	安卓客户端部分客户有问题，下午晚些时候再试
扫码取现和预约取现均报错	已恢复，请更新客户端后重试，谢谢。
升级以后手机银行免密登陆开关建议关闭，容易引起客户对账户安全的担心	现在是行内用户试用噢，还没有对外投产呢
商友卡不能在智能终端重置密码，卡内资金大于5万元的	内管有个阀值，超过之后必须去柜面办理～～～截图是正常提示
系统升级后双屏上客户签名由原来的红色变成了黑色，不方便指导客户，建议仍然改成红色	您好，签名字体一直为黑色，对于签名图标，目前已经在双屏签名按钮上通过增加提示声音，动画手势，突出显示签名图标等方式提醒客户，请柜员和大堂经理做好客户引导，我们也将跟踪全行使用情况，适时向业务部门反馈，
开立大额存单预查询时系统不显示额度，有时取款成功了，开立无额度，造成客户不满意	这个问题目前还未解决
手机银行，我的账户和转账汇款打不开	已恢复，请验证
手机银行我的账户和转账汇款点不开	已恢复，请验证
关于多个人答复问题完整显示的建议	张总，这个问题前面答复过，需要专题优化一下，把针对回答的评论信息都放在前面
手机银行投资理财点了报错	谢胡总
手机银行“投资理财”总提示网络不会好	新客户端已上架，已更新到10月版客户端的客户需要手动更新为最新版
自助终端修改信息报错	请问您具体修改哪个字段呢？
以前开通过网银销掉之后再重需要自己再单独设置吗？	智能终端开卡联动开网银和E支付时，可以选择单独设置E支付密码，也可以选择E支付密码同卡密码；<br />单独开网银联动开E支付时，网银密码同卡密码，E支付密码需要单独设置。
平板无法授权，电子签名图加载不出来	姜老师～如有问题继续请教
工资流水打印	系统是支持的，但业务不允许柜员这么操作。业务为了规避风险要求客户必须持卡打印。
关于综合销户交易问题	您好。因为山东行尚未投产无纸化模式，所以 双屏签名 按钮对客户的电子签名和日期不会生效，仍需客户在实物凭证上手工签名和填写日期。
客户1702开头的16位灵通卡:7654查询时账户信息无，卡信息显示此卡号进行挂	您目前相对该卡进行何种操作，因该卡较老，可能存在客户信息没有的情况，需具体业务具体分析
nova+1.9.10新版本投产后 联想pad授权特别慢 基本属于不可用状态	请提供一下如下信息：1、安卓pad还是winpad？2、使用的是工银e服务，还是智能助手（国内版）3、使用的是内外还是外网，网速本身正常吗？4、“处于不可用状态”是有报错吗？如果有请截图。5、如网速本
nova+1.9.10版本投产后扫描工作站版本不对，并不自动调用升级	工作站需升级到最新版本，请联系分行科技更新版本。最新的工作站版本号是2.78.01.2。
我行一个网点winpad部分柜员授权退出	该问题正在分析，请先使用仅有大堂经理权限的用户登录，谢谢。
借记卡密码重置，上传照片后未提示签名即提交审核。	估计是网络原因，请重新提交，谢谢
异地一折一卡挂失卡时联动销折的业务，今天怎么不能销折了啊？是不是升级的事啊？	因升级后需要联动挂失存折才能销卡，和原来有变化，操作人员没细看，现已解决，谢谢！
移动助手报错：移动助手用户登陆密码输入有误时提示网点运营异常，无该用户信息	从报错看应该为分行环境问题，请稍后再重新登录试试，谢谢
境外是否支持二维码扫码功能？	17年10月版本支持境外商户被扫模式。
有没有收藏功能	您好，点击关注后，在我的关注里面就能找到关注过的优质问题。
能不能优化一下问题没有解决和已经解决时的提示？	赞同，建议1增加外层展示问题的回答数量，建议2关联notes邮件系统实现问题推送提醒。
微山支行星期天按装双屏收备，办理定期开户提下图。	收到
济宁嘉祥支行今天卖业务委托书时提示如图片，上周还正常。请问是不是升级出现异常？	请检查二维码打印配置文件对应的凭证种类一打印样式.ini是否设定，我下午1点30电话联系你，谢谢
智能	提出人测试i服务APP，忽略。
我网点	您好，该问题正在处理。请先用只有大堂经理角色用户进行审批。谢谢
存折一类账户降为二类还不行吗？	只有3602地区试点，系统常数表控制，若设置，则支持
融	请提供问题截图，谢谢！
个人U盾登录网银对外支付，在U盾上不显示支付信息，无法确认支付	你好，能否提供相关数据和截图等具体信息。
融e联扫推荐码下截，客户手机显示	您好，此页面说明该客户前期已进行过推广代码录入。
客户办理更换u盾，平板授权成功，费箱里没有，页面提示	是在分离式设备做的？
手机银行自助添加银行卡显示下面信息	您好，请更新客户端重试，若仍有问题请提供交易数据发我邮箱详查，谢谢。
授权pad	您好，针对个别pad闪退问题，可在pad上点击关闭提醒轮巡功能解决。谢谢
Iphone8无法正常使用飞天u盾，今天更新u盾了还是报：连接工行证书介质失败。	该问题在10月版本解决，请等待最新客户端上线，目前在苹果公司审核
产品领取机输入内容时	输入什么内容，烦请提供办理何种业务
安阳分行行政区支行版本投产业务验证	谢谢！欢迎用i服务反映各类业务和技术问题。
河南省安阳分行行政区支行版本投产业务验证成功	谢谢！欢迎用i服务反映各类业务和技术问题。
关于智能机模块设置建议更直观	原来选择卡挂失在账户开立补办模块，现在在账户管理中，不如原来直观
关于手机银行转账无法切换认证方式	请在e支付栏目下检查使用的卡是否开通短信支付，如果开通请检查e支付累计限额，如果超过日累计或月累计限额则不支持使用e支付则选不到。
扫描工作站无法登录	谢谢
新增网银下载U盾，提示如下	您好，该U盾未灌密，请至柜面完成灌密并下载证书再使用。
拒付调单应用，填加附件，只有tiff选项，无法选择其他类型	下拉项里没有其他选项，word或eXCeL无法选择，过去可以，18653189978
手机银行在哪能查公积金账户余额？网银有公积金的菜单，手机银行没找到。	手机银行登录-我的账户-更多-更多展开-住房公积金
